,Titel,Link,Laufzeit
0,Die Faszination der verborgenen Dimension Fraktale,https://www.youtube.com/watch?v=Mg-N82qhatc&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=2&t=0s,50:20
1,Die Geheimnisse der Mathematik Doku,https://www.youtube.com/watch?v=6LuuDv7uOdI&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=3&t=0s,53:02
2,Einsteins grosse Idee - Die Formel die die Welt veränderte [Dokumentation deutsch],https://www.youtube.com/watch?v=QhefErib7aY&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=4&t=0s,1:43:56
3,Kathedralen,https://www.youtube.com/watch?v=k7Wh_-02MaI&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=5&t=0s,1:20:46
4,Überwacht: Sieben Milliarden im Visier | Doku | ARTE,https://www.youtube.com/watch?v=ubePmAtsBsQ&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=6&t=0s,1:29:27
5,Seidenstraße 2.0 - Chinas Weg zur Weltspitze | Arte Doku [HD],https://www.youtube.com/watch?v=zIohEPWrdx8&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=7&t=0s,53:45
6,Tiananmen Der Platz des himmlischen Friedens,https://www.youtube.com/watch?v=gEhBm0XNqBs&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=8&t=0s,44:07
7,China - Das Massaker auf dem Platz des Himmlischen Friedens 1989 - deutsch,https://www.youtube.com/watch?v=3Nho_9qC_yA&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=9&t=0s,25:15
8,Hongkonger Polizei verhindert Gedenken an das Massaker auf dem Platz des Himmlischen Friedens 1989,https://www.youtube.com/watch?v=dPEAZqvvXq8&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=10&t=0s,2:25
9,Chinas mediale Gegenwelt | Doku | ARTE,https://www.youtube.com/watch?v=OS_UcAVWQs8&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=11&t=0s,27:48
10,"Der ""Schwulen-Paragraf"" | Doku",https://www.youtube.com/watch?v=eUUfUh0P9HI&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=12&t=0s,44:25
11,"Persönlichkeitsentwicklung - Genetische Veranlagung (Doku, Arte 2015)",https://www.youtube.com/watch?v=VXxi1wSS8gM&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=13&t=0s,51:58
12,Die Eloquenz der Gehörlosen | Doku | ARTE,https://www.youtube.com/watch?v=daGh1G0t8sU&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=14&t=0s,50:29
13,Kopfkino - Die unbekannte Welt der Klarträumer ( arte DOKU ),https://www.youtube.com/watch?v=s1p4GC9ziNA&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=15&t=0s,52:14
14,Die Geschichte der Engel,https://www.youtube.com/watch?v=ZkGuIYLBP1o&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=16&t=0s,52:06
15,Der Zeit voraus: 5 bahnbrechende Erfindungen | Doku | ARTE,https://www.youtube.com/watch?v=Yzcr2C_UQFk&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=17&t=0s,20:46
16,"Die heilsame Kraft der Meditation ( Arte Doku, HD )",https://www.youtube.com/watch?v=_5SOsXqpptI&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=18&t=0s,50:33
17,Schattenwelt BND Bundesnachrichtendienst   Doku Arte Juli 2016,https://www.youtube.com/watch?v=Mt9xXCWYZrw&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=19&t=0s,1:29:45
18,Dienstbereit Nazis und Faschisten im Auftrag der CIA   Arte Doku,https://www.youtube.com/watch?v=8S6Vrjvric8&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=20&t=0s,51:35
